loss_kl,EpLenMean,TimestepsSoFar,ev_tdlam_before,EpThisIter,loss_ent,loss_pol_surr,loss_pol_entpen,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpRewMean
0.01057837,1516.28,159744,0.9225194603204727,2,1.674426,-0.010457301,0.0,105,0.009294555,735.3377084732056,0.27
0.0067092604,1528.27,163840,0.908525213599205,2,1.6311222,-0.0133771235,0.0,107,0.008278946,745.5491755008698,0.34
0.006996784,1546.3,167936,0.8920146226882935,3,1.6569988,-0.0124435555,0.0,110,0.008793093,756.0174307823181,0.36
0.005425751,1552.56,172032,0.9072008579969406,3,1.6488742,-0.009362879,0.0,113,0.009675282,766.3407175540924,0.4
0.006069028,1551.53,176128,0.8734640777111053,3,1.6544487,-0.0122569585,0.0,116,0.010379916,776.7491545677185,0.58
0.0064800065,1564.44,180224,0.8488142937421799,2,1.6273131,-0.012192697,0.0,118,0.011726575,787.017745256424,0.56
0.007442005,1551.56,184320,0.8589810431003571,3,1.6449596,-0.012730121,0.0,121,0.012387727,797.5197629928589,0.6
0.0057108426,1574.74,188416,0.8861621171236038,2,1.6296498,-0.013006262,0.0,123,0.009574169,807.770788192749,0.52
0.0072694086,1583.23,192512,0.8653932809829712,2,1.6269795,-0.009618096,0.0,125,0.009083009,817.998996257782,0.45
0.005583036,1596.0,196608,0.8756064027547836,2,1.5796944,-0.010396654,0.0,127,0.00866475,828.0679450035095,0.4
0.008920675,1606.64,200704,0.7821709662675858,2,1.5642761,-0.013996251,0.0,129,0.008094198,1190.5374965667725,0.58
0.006408539,1623.35,204800,0.8196230530738831,2,1.5453769,-0.013298953,0.0,131,0.010165115,1202.3452537059784,0.54
0.0065840976,1625.45,208896,0.7516807168722153,3,1.4671577,-0.01318256,0.0,134,0.012926993,1212.827973127365,0.42
0.0064661168,1616.38,212992,0.6991212964057922,2,1.5110818,-0.014760053,0.0,136,0.0100134155,1223.2676389217377,0.42
0.0058855643,1625.31,217088,0.7254784107208252,2,1.5087055,-0.012013271,0.0,138,0.010308102,1233.5757160186768,0.36
0.0073646135,1634.31,221184,0.7173100411891937,2,1.5563358,-0.012690649,0.0,140,0.0059636105,1244.0130224227905,0.47
0.008745456,1664.05,225280,0.7823151350021362,3,1.5816121,-0.011744268,0.0,143,0.010474821,1254.5565598011017,0.65
0.0059647025,1670.97,229376,0.7887440919876099,3,1.5638645,-0.012387732,0.0,146,0.011033921,1265.0393211841583,0.64
0.0068691415,1675.2,233472,0.7881985604763031,2,1.603076,-0.012551868,0.0,148,0.008172114,1275.5775063037872,0.72
